uid,metric,comparison,r2yd_x,rv_q,rv_qa,benchmark_var
ACCUEOP100756,biodIntact2015,REDD vs no REDD (PA),2.9,15.8,0,accessibility
ACCUEOP100841,biodIntact2015,REDD vs no REDD (PA),7.1,24,3.3,slope
ACCUEOP100898,biodIntact2015,REDD vs no REDD (PA),20.9,39.9,22.6,human_footprint
ACCUEOP100964,biodIntact2015,REDD vs no REDD (PA),6.2,22.6,0,gdp
ACCUEOP101062,biodIntact2015,REDD vs no REDD (PA),NA,NA,NA,elevation
ACCUEOP101086,biodIntact2015,REDD vs no REDD (PA),3.5,17.3,0,gdp
ACCUEOP101088,biodIntact2015,REDD vs no REDD (PA),20.7,39.6,18.6,precipitation
ACCUEOP101141,biodIntact2015,REDD vs no REDD (PA),6.4,23,0,aboveground_biomass_2000
ACCUEOP101157,biodIntact2015,REDD vs no REDD (PA),0.6,7.7,0,aboveground_biomass_2000
ACCUEOP101164,biodIntact2015,REDD vs no REDD (PA),0.2,4.6,0,human_footprint
ACCUERF105144,biodIntact2015,REDD vs no REDD (PA),2.5,14.7,0,accessibility
ACR268,biodIntact2015,REDD vs no REDD (PA),0.7,7.9,0,human_footprint
ER53,biodIntact2015,REDD vs no REDD (PA),25,43.5,33.6,gdp
ER55,biodIntact2015,REDD vs no REDD (PA),5.8,22,0,accessibility
ER67,biodIntact2015,REDD vs no REDD (PA),2.2,13.9,0,elevation
ER99,biodIntact2015,REDD vs no REDD (PA),0.5,6.8,0,population_density
VCS1112,biodIntact2015,REDD vs no REDD (PA),4.9,20.3,7.6,precipitation
VCS1113,biodIntact2015,REDD vs no REDD (PA),32.2,49.2,42.6,precipitation
VCS1115,biodIntact2015,REDD vs no REDD (PA),0.4,6.3,0,aboveground_biomass_2000
VCS1215,biodIntact2015,REDD vs no REDD (PA),0,1.2,0,slope
VCS1326,biodIntact2015,REDD vs no REDD (PA),1.4,11.4,0,human_footprint
VCS1399,biodIntact2015,REDD vs no REDD (PA),3.3,16.8,3.3,slope
VCS1408,biodIntact2015,REDD vs no REDD (PA),51.5,62.9,55,elevation
VCS1532,biodIntact2015,REDD vs no REDD (PA),47.9,60.4,54.9,elevation
VCS1571,biodIntact2015,REDD vs no REDD (PA),31.5,48.6,44.3,aboveground_biomass_2000
VCS1622,biodIntact2015,REDD vs no REDD (PA),0.3,5.3,0,human_footprint
VCS1654,biodIntact2015,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1672,biodIntact2015,REDD vs no REDD (PA),24.9,43.3,34.8,accessibility
VCS1686,biodIntact2015,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1689,biodIntact2015,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1775,biodIntact2015,REDD vs no REDD (PA),56.4,66.2,57.4,gdp
VCS1811,biodIntact2015,REDD vs no REDD (PA),5.5,21.3,11.1,aboveground_biomass_2000
VCS1881,biodIntact2015,REDD vs no REDD (PA),28.5,46.3,32.7,aboveground_biomass_2000
VCS1897,biodIntact2015,REDD vs no REDD (PA),6.7,23.4,6.7,human_footprint
VCS1953,biodIntact2015,REDD vs no REDD (PA),24.1,42.7,24.9,aboveground_biomass_2000
VCS2084,biodIntact2015,REDD vs no REDD (PA),NA,NA,NA,NA
VCS2252,biodIntact2015,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS2373,biodIntact2015,REDD vs no REDD (PA),22.8,41.5,33.7,elevation
VCS2403,biodIntact2015,REDD vs no REDD (PA),2,13.3,0,human_footprint
VCS2502,biodIntact2015,REDD vs no REDD (PA),22.7,41.4,34.6,elevation
VCS2508,biodIntact2015,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS2551,biodIntact2015,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS2872,biodIntact2015,REDD vs no REDD (PA),7.1,24,10,precipitation
VCS3506,biodIntact2015,REDD vs no REDD (PA),1,9.7,0,aboveground_biomass_2000
VCS562,biodIntact2015,REDD vs no REDD (PA),NA,NA,NA,elevation
VCS612,biodIntact2015,REDD vs no REDD (PA),39,54.1,49.5,elevation
VCS674,biodIntact2015,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS875,biodIntact2015,REDD vs no REDD (PA),0,2.2,0,precipitation
VCS904,biodIntact2015,REDD vs no REDD (PA),5.1,20.6,12.3,precipitation
VCS963,biodIntact2015,REDD vs no REDD (PA),68.6,74.6,68.2,precipitation
VCS977,biodIntact2015,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS981,biodIntact2015,REDD vs no REDD (PA),NA,NA,NA,precipitation
ACCUEOP101157,forestInt,REDD vs no REDD (PA),5.4,21.3,11,aboveground_biomass_2000
ACCUEOP101164,forestInt,REDD vs no REDD (PA),0.4,6.5,0,human_footprint
ACR268,forestInt,REDD vs no REDD (PA),13.4,32.3,14,human_footprint
ER53,forestInt,REDD vs no REDD (PA),0.7,8.1,0,gdp
ER55,forestInt,REDD vs no REDD (PA),0.8,8.7,0,gdp
ER67,forestInt,REDD vs no REDD (PA),8.6,26.3,6.4,elevation
ER99,forestInt,REDD vs no REDD (PA),0.9,9.3,0,accessibility
VCS1112,forestInt,REDD vs no REDD (PA),0.4,5.9,0,elevation
VCS1113,forestInt,REDD vs no REDD (PA),0.1,2.7,0,elevation
VCS1115,forestInt,REDD vs no REDD (PA),8.2,25.7,14.2,aboveground_biomass_2000
VCS1215,forestInt,REDD vs no REDD (PA),33.1,49.8,31.1,aboveground_biomass_2000
VCS1326,forestInt,REDD vs no REDD (PA),0.2,3.9,0,human_footprint
VCS1399,forestInt,REDD vs no REDD (PA),28.7,46.4,38.1,accessibility
VCS1408,forestInt,REDD vs no REDD (PA),0.6,7.4,0,elevation
VCS1532,forestInt,REDD vs no REDD (PA),1.8,12.5,0,population_density
VCS1571,forestInt,REDD vs no REDD (PA),1.8,12.6,4.9,precipitation
VCS1622,forestInt,REDD vs no REDD (PA),9.1,27.1,11.2,human_footprint
VCS1654,forestInt,REDD vs no REDD (PA),0.7,7.8,0,human_footprint
VCS1672,forestInt,REDD vs no REDD (PA),2.3,14.2,0.8,elevation
VCS1686,forestInt,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1689,forestInt,REDD vs no REDD (PA),7.6,24.8,13.2,accessibility
VCS1775,forestInt,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1811,forestInt,REDD vs no REDD (PA),1.5,11.7,0.3,aboveground_biomass_2000
VCS1881,forestInt,REDD vs no REDD (PA),5.7,21.7,1.2,human_footprint
VCS1897,forestInt,REDD vs no REDD (PA),0,1.9,0,population_density
VCS1953,forestInt,REDD vs no REDD (PA),1.1,10.2,0,precipitation
VCS2084,forestInt,REDD vs no REDD (PA),NA,NA,NA,NA
VCS2252,forestInt,REDD vs no REDD (PA),3.6,17.5,5.4,elevation
VCS2373,forestInt,REDD vs no REDD (PA),0.2,4.6,0,human_footprint
VCS2403,forestInt,REDD vs no REDD (PA),19.3,38.4,9,human_footprint
VCS2502,forestInt,REDD vs no REDD (PA),0.1,3.3,0,precipitation
VCS2508,forestInt,REDD vs no REDD (PA),5.9,22.2,11,population_density
VCS2551,forestInt,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS2872,forestInt,REDD vs no REDD (PA),18.7,37.8,26.5,precipitation
VCS3506,forestInt,REDD vs no REDD (PA),6.3,22.8,4.1,human_footprint
VCS612,forestInt,REDD vs no REDD (PA),0.1,2.8,0,aboveground_biomass_2000
VCS674,forestInt,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS875,forestInt,REDD vs no REDD (PA),0.1,3.1,0,precipitation
VCS904,forestInt,REDD vs no REDD (PA),1.3,11,1.7,elevation
VCS963,forestInt,REDD vs no REDD (PA),5.4,21.2,0,precipitation
VCS977,forestInt,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS981,forestInt,REDD vs no REDD (PA),9.4,27.4,12.2,human_footprint
ACCUEOP101157,forestFrag,REDD vs no REDD (PA),2.9,15.8,0,elevation
ACCUEOP101164,forestFrag,REDD vs no REDD (PA),10.3,28.7,10.6,elevation
ACR268,forestFrag,REDD vs no REDD (PA),22.3,41.1,25.4,human_footprint
ER53,forestFrag,REDD vs no REDD (PA),7.1,24,10.5,gdp
ER55,forestFrag,REDD vs no REDD (PA),6,22.3,0,human_footprint
ER67,forestFrag,REDD vs no REDD (PA),NA,NA,NA,accessibility
VCS1112,forestFrag,REDD vs no REDD (PA),47.7,60.2,54.5,precipitation
VCS1113,forestFrag,REDD vs no REDD (PA),0,1.6,0,precipitation
VCS1115,forestFrag,REDD vs no REDD (PA),16.2,35.3,25,human_footprint
VCS1215,forestFrag,REDD vs no REDD (PA),1.4,11.3,0,aboveground_biomass_2000
VCS1326,forestFrag,REDD vs no REDD (PA),1,9.4,0,human_footprint
VCS1399,forestFrag,REDD vs no REDD (PA),2.4,14.4,0,accessibility
VCS1532,forestFrag,REDD vs no REDD (PA),0.4,6.1,0,gdp
VCS1571,forestFrag,REDD vs no REDD (PA),5.6,21.6,14.8,precipitation
VCS1622,forestFrag,REDD vs no REDD (PA),33.2,49.9,37.6,gdp
VCS1654,forestFrag,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1686,forestFrag,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1689,forestFrag,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1775,forestFrag,REDD vs no REDD (PA),0.1,2.3,0,gdp
VCS1811,forestFrag,REDD vs no REDD (PA),3.5,17.2,5.8,human_footprint
VCS1881,forestFrag,REDD vs no REDD (PA),10.1,28.4,8.6,elevation
VCS1897,forestFrag,REDD vs no REDD (PA),25.7,44,31.6,precipitation
VCS1953,forestFrag,REDD vs no REDD (PA),91.3,91.9,90.5,precipitation
VCS2084,forestFrag,REDD vs no REDD (PA),NA,NA,NA,NA
VCS2252,forestFrag,REDD vs no REDD (PA),0.9,9.3,0,elevation
VCS2373,forestFrag,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS2403,forestFrag,REDD vs no REDD (PA),40.1,54.9,34.3,precipitation
VCS2502,forestFrag,REDD vs no REDD (PA),2.4,14.5,4.3,precipitation
VCS2508,forestFrag,REDD vs no REDD (PA),0.4,6.2,0,elevation
VCS2551,forestFrag,REDD vs no REDD (PA),6.4,22.9,0,elevation
VCS2872,forestFrag,REDD vs no REDD (PA),27,45.1,35.2,precipitation
VCS3506,forestFrag,REDD vs no REDD (PA),0.1,2.8,0,accessibility
VCS674,forestFrag,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS875,forestFrag,REDD vs no REDD (PA),32.7,49.5,41.3,precipitation
VCS904,forestFrag,REDD vs no REDD (PA),27.1,45.2,30.9,slope
VCS963,forestFrag,REDD vs no REDD (PA),26.2,44.4,27.8,precipitation
VCS977,forestFrag,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS981,forestFrag,REDD vs no REDD (PA),0.9,9.1,0,slope
ACCUEOP100756,canopy_height,REDD vs no REDD (PA),3.3,16.9,0,human_footprint
ACCUEOP100841,canopy_height,REDD vs no REDD (PA),NA,NA,NA,precipitation
ACCUEOP100898,canopy_height,REDD vs no REDD (PA),10,28.3,7.3,human_footprint
ACCUEOP100964,canopy_height,REDD vs no REDD (PA),NA,NA,NA,accessibility
ACCUEOP101062,canopy_height,REDD vs no REDD (PA),1.4,11.1,0,gdp
ACCUEOP101086,canopy_height,REDD vs no REDD (PA),0,2,0,gdp
ACCUEOP101088,canopy_height,REDD vs no REDD (PA),38.2,53.6,38,precipitation
ACCUEOP101141,canopy_height,REDD vs no REDD (PA),0.5,6.9,0,elevation
ACCUEOP101157,canopy_height,REDD vs no REDD (PA),2.7,15.3,4,elevation
ACCUEOP101164,canopy_height,REDD vs no REDD (PA),1.2,10.5,0,elevation
ACCUERF105144,canopy_height,REDD vs no REDD (PA),1.7,12.3,0,precipitation
ACR268,canopy_height,REDD vs no REDD (PA),6.9,23.8,3.1,human_footprint
ER53,canopy_height,REDD vs no REDD (PA),3.1,16.2,1.2,gdp
ER55,canopy_height,REDD vs no REDD (PA),2.7,15.4,0,gdp
ER67,canopy_height,REDD vs no REDD (PA),2.1,13.5,0,slope
ER99,canopy_height,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1112,canopy_height,REDD vs no REDD (PA),3.7,17.7,4.6,elevation
VCS1113,canopy_height,REDD vs no REDD (PA),6.9,23.8,13.6,population_density
VCS1115,canopy_height,REDD vs no REDD (PA),6.7,23.5,11.6,aboveground_biomass_2000
VCS1215,canopy_height,REDD vs no REDD (PA),40.3,55,38.6,aboveground_biomass_2000
VCS1326,canopy_height,REDD vs no REDD (PA),4.3,19.2,0,human_footprint
VCS1399,canopy_height,REDD vs no REDD (PA),1.8,12.6,0,accessibility
VCS1408,canopy_height,REDD vs no REDD (PA),8,25.4,8,elevation
VCS1532,canopy_height,REDD vs no REDD (PA),7.6,24.8,13.5,population_density
VCS1571,canopy_height,REDD vs no REDD (PA),4.7,19.8,12.8,precipitation
VCS1622,canopy_height,REDD vs no REDD (PA),2.5,14.8,0,human_footprint
VCS1654,canopy_height,REDD vs no REDD (PA),0,0.3,0,elevation
VCS1672,canopy_height,REDD vs no REDD (PA),2.8,15.6,2.5,precipitation
VCS1686,canopy_height,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1689,canopy_height,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1775,canopy_height,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1811,canopy_height,REDD vs no REDD (PA),0,1.7,0,aboveground_biomass_2000
VCS1881,canopy_height,REDD vs no REDD (PA),5.6,21.6,1.1,human_footprint
VCS1897,canopy_height,REDD vs no REDD (PA),0.5,6.6,0,human_footprint
VCS1953,canopy_height,REDD vs no REDD (PA),1,9.4,0,precipitation
VCS2084,canopy_height,REDD vs no REDD (PA),NA,NA,NA,NA
VCS2252,canopy_height,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS2373,canopy_height,REDD vs no REDD (PA),0.8,8.6,0,elevation
VCS2403,canopy_height,REDD vs no REDD (PA),50.8,62.3,45.7,human_footprint
VCS2502,canopy_height,REDD vs no REDD (PA),1,9.7,0,elevation
VCS2508,canopy_height,REDD vs no REDD (PA),1,9.4,0,population_density
VCS2551,canopy_height,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS2872,canopy_height,REDD vs no REDD (PA),0,0.6,0,precipitation
VCS3506,canopy_height,REDD vs no REDD (PA),0.4,6,0,aboveground_biomass_2000
VCS562,canopy_height,REDD vs no REDD (PA),NA,NA,NA,elevation
VCS612,canopy_height,REDD vs no REDD (PA),25.9,44.2,38.3,precipitation
VCS674,canopy_height,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS875,canopy_height,REDD vs no REDD (PA),0.6,7.6,0,population_density
VCS904,canopy_height,REDD vs no REDD (PA),0,1.6,0,elevation
VCS963,canopy_height,REDD vs no REDD (PA),14.7,33.7,13.6,precipitation
VCS977,canopy_height,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS981,canopy_height,REDD vs no REDD (PA),1.5,11.8,0,elevation
ACCUEOP101157,carbon_flux,REDD vs no REDD (PA),0.6,7.4,0,aboveground_biomass_2000
ACCUEOP101164,carbon_flux,REDD vs no REDD (PA),0.7,8,0,slope
ACR268,carbon_flux,REDD vs no REDD (PA),5.3,21,0,human_footprint
ER53,carbon_flux,REDD vs no REDD (PA),0,0.1,0,human_footprint
ER55,carbon_flux,REDD vs no REDD (PA),0.8,8.7,0,human_footprint
ER67,carbon_flux,REDD vs no REDD (PA),5.4,21.1,0,elevation
ER99,carbon_flux,REDD vs no REDD (PA),4.8,20.1,0,elevation
VCS1112,carbon_flux,REDD vs no REDD (PA),0.2,4.9,0,elevation
VCS1113,carbon_flux,REDD vs no REDD (PA),0.1,3.2,0,elevation
VCS1115,carbon_flux,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS1215,carbon_flux,REDD vs no REDD (PA),34.2,50.7,32.3,slope
VCS1326,carbon_flux,REDD vs no REDD (PA),0,2,0,human_footprint
VCS1399,carbon_flux,REDD vs no REDD (PA),7.9,25.3,13.1,elevation
VCS1532,carbon_flux,REDD vs no REDD (PA),12.1,30.8,17.8,gdp
VCS1571,carbon_flux,REDD vs no REDD (PA),11.5,30.1,24.1,precipitation
VCS1622,carbon_flux,REDD vs no REDD (PA),1.6,12,0,human_footprint
VCS1654,carbon_flux,REDD vs no REDD (PA),0,1.4,0,human_footprint
VCS1686,carbon_flux,REDD vs no REDD (PA),0,0.7,0,elevation
VCS1689,carbon_flux,REDD vs no REDD (PA),2.3,14.2,0,human_footprint
VCS1775,carbon_flux,REDD vs no REDD (PA),0,0.9,0,gdp
VCS1811,carbon_flux,REDD vs no REDD (PA),2.3,14.3,3.1,human_footprint
VCS1881,carbon_flux,REDD vs no REDD (PA),0,1.5,0,slope
VCS1897,carbon_flux,REDD vs no REDD (PA),0.1,2.5,0,population_density
VCS1953,carbon_flux,REDD vs no REDD (PA),3,16.2,0,precipitation
VCS2084,carbon_flux,REDD vs no REDD (PA),NA,NA,NA,NA
VCS2252,carbon_flux,REDD vs no REDD (PA),0.8,8.6,0,elevation
VCS2373,carbon_flux,REDD vs no REDD (PA),2.3,14.3,2.4,accessibility
VCS2403,carbon_flux,REDD vs no REDD (PA),18.7,37.8,8.2,precipitation
VCS2502,carbon_flux,REDD vs no REDD (PA),0,0.8,0,precipitation
VCS2508,carbon_flux,REDD vs no REDD (PA),1.8,12.7,0.1,population_density
VCS2551,carbon_flux,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS2872,carbon_flux,REDD vs no REDD (PA),9.1,27,13.5,precipitation
VCS3506,carbon_flux,REDD vs no REDD (PA),1.9,13,0,aboveground_biomass_2000
VCS674,carbon_flux,REDD vs no REDD (PA),NA,NA,NA,precipitation
VCS875,carbon_flux,REDD vs no REDD (PA),0.6,7.6,0,population_density
VCS904,carbon_flux,REDD vs no REDD (PA),0.4,5.8,0,human_footprint
VCS963,carbon_flux,REDD vs no REDD (PA),0.6,7.5,0,precipitation
VCS977,carbon_flux,REDD vs no REDD (PA),0.6,7.2,0,accessibility
VCS981,carbon_flux,REDD vs no REDD (PA),4.5,19.4,2.4,human_footprint
ACCUEOP100521,biodIntact2015,REDD vs no REDD,26.9,45,28,accessibility
ACCUEOP100542,biodIntact2015,REDD vs no REDD,0,1,0,precipitation
ACCUEOP100555,biodIntact2015,REDD vs no REDD,6.9,23.8,0.5,elevation
ACCUEOP100562,biodIntact2015,REDD vs no REDD,1.8,12.7,0,human_footprint
ACCUEOP100568,biodIntact2015,REDD vs no REDD,4.4,19.4,8.7,aboveground_biomass_2000
ACCUEOP100579,biodIntact2015,REDD vs no REDD,12.2,30.9,13.2,accessibility
ACCUEOP100580,biodIntact2015,REDD vs no REDD,NA,NA,NA,accessibility
ACCUEOP100628,biodIntact2015,REDD vs no REDD,0.1,2.6,0,precipitation
ACCUEOP100631,biodIntact2015,REDD vs no REDD,0,0.4,0,precipitation
ACCUEOP100633,biodIntact2015,REDD vs no REDD,5,20.5,8.4,gdp
ACCUEOP100635,biodIntact2015,REDD vs no REDD,5.9,22.1,11.8,slope
ACCUEOP100653,biodIntact2015,REDD vs no REDD,NA,NA,NA,precipitation
ACCUEOP100655,biodIntact2015,REDD vs no REDD,0.6,7.5,0,human_footprint
ACCUEOP100683,biodIntact2015,REDD vs no REDD,3,16.1,3.4,aboveground_biomass_2000
ACCUEOP100756,biodIntact2015,REDD vs no REDD,8.5,26.2,16.3,accessibility
ACCUEOP100800,biodIntact2015,REDD vs no REDD,NA,NA,NA,precipitation
ACCUEOP100805,biodIntact2015,REDD vs no REDD,0.3,5.6,0,gdp
ACCUEOP100810,biodIntact2015,REDD vs no REDD,0.1,3.1,0,gdp
ACCUEOP100822,biodIntact2015,REDD vs no REDD,10,28.2,10.3,gdp
ACCUEOP100828,biodIntact2015,REDD vs no REDD,7.8,25.1,0,elevation
ACCUEOP100841,biodIntact2015,REDD vs no REDD,0,2.2,0,precipitation
ACCUEOP100842,biodIntact2015,REDD vs no REDD,4.4,19.3,13.9,precipitation
ACCUEOP100847,biodIntact2015,REDD vs no REDD,NA,NA,NA,precipitation
ACCUEOP100881,biodIntact2015,REDD vs no REDD,1.1,10.2,0,aboveground_biomass_2000
ACCUEOP100883,biodIntact2015,REDD vs no REDD,NA,NA,NA,precipitation
ACCUEOP100898,biodIntact2015,REDD vs no REDD,4.4,19.2,0,precipitation
ACCUEOP100964,biodIntact2015,REDD vs no REDD,NA,NA,NA,elevation
ACCUEOP101055,biodIntact2015,REDD vs no REDD,3.6,17.6,4.4,elevation
ACCUEOP101056,biodIntact2015,REDD vs no REDD,32.7,49.5,29.6,gdp
ACCUEOP101058,biodIntact2015,REDD vs no REDD,0.3,5.6,0,gdp
ACCUEOP101059,biodIntact2015,REDD vs no REDD,3.5,17.4,7.6,precipitation
ACCUEOP101060,biodIntact2015,REDD vs no REDD,NA,NA,NA,accessibility
ACCUEOP101062,biodIntact2015,REDD vs no REDD,0.1,2.7,0,human_footprint
ACCUEOP101086,biodIntact2015,REDD vs no REDD,0.9,9.1,1.5,gdp
ACCUEOP101087,biodIntact2015,REDD vs no REDD,1.6,11.9,0,gdp
ACCUEOP101088,biodIntact2015,REDD vs no REDD,NA,NA,NA,precipitation
ACCUEOP101089,biodIntact2015,REDD vs no REDD,0.3,5.7,0,accessibility
ACCUEOP101141,biodIntact2015,REDD vs no REDD,0.1,2.9,0,aboveground_biomass_2000
ACCUEOP101157,biodIntact2015,REDD vs no REDD,0.8,8.8,2.5,aboveground_biomass_2000
ACCUEOP101164,biodIntact2015,REDD vs no REDD,0.1,2.5,0,aboveground_biomass_2000
ACCUEOP101233,biodIntact2015,REDD vs no REDD,1.2,10.6,0,accessibility
ACCUEOP101241,biodIntact2015,REDD vs no REDD,28.7,46.5,38.1,slope
ACCUERF101645,biodIntact2015,REDD vs no REDD,5.6,21.5,13,accessibility
ACCUERF101920,biodIntact2015,REDD vs no REDD,3.7,17.8,10.1,gdp
ACCUERF102109,biodIntact2015,REDD vs no REDD,13,31.9,23.7,elevation
ACCUERF103323,biodIntact2015,REDD vs no REDD,2.3,14.3,2.2,precipitation
ACCUERF105144,biodIntact2015,REDD vs no REDD,13.4,32.3,23.4,precipitation
ACCUERF111260,biodIntact2015,REDD vs no REDD,0,1.1,0,elevation
ACCUERF121207,biodIntact2015,REDD vs no REDD,0,1.7,0,aboveground_biomass_2000
ACCUERF140014,biodIntact2015,REDD vs no REDD,0.8,8.6,0,elevation
